src,dst,packet_count,byte_count,label
fe80::4c6e:aeff:fe7a:3544,ff02::2,1,70,0
fe80::942e:11ff:fe1d:1719,ff02::2,1,70,1
fe80::942e:11ff:fe1d:1719,ff02::fb,1000,100000,0
fe80::4c6e:aeff:fe7a:3544,ff02::fb,1000,100000,0
fe80::c40a:14ff:fe3d:f7a6,ff02::fb,1,107,1
fe80::c40a:14ff:fe3d:f7a6,ff02::2,1,70,0
fe80::4c6e:aeff:fe7a:3544,ff02::2,1,70,1
fe80::942e:11ff:fe1d:1719,ff02::fb,1,107,1
fe80::4c6e:aeff:fe7a:3544,ff02::fb,1,107,1
fe80::c40a:14ff:fe3d:f7a6,ff02::fb,1,107,1
fe80::942e:11ff:fe1d:1719,ff02::2,1,70,1
fe80::c40a:14ff:fe3d:f7a6,ff02::2,1000,100000,1
fe80::942e:11ff:fe1d:1719,ff02::fb,1000,100000,1
fe80::4c6e:aeff:fe7a:3544,ff02::fb,1,107,0
fe80::c40a:14ff:fe3d:f7a6,ff02::fb,1,107,0
fe80::4c6e:aeff:fe7a:3544,ff02::2,1000,100000,0
fe80::942e:11ff:fe1d:1719,ff02::2,1,70,1
fe80::c40a:14ff:fe3d:f7a6,ff02::2,1,70,0
fe80::942e:11ff:fe1d:1719,ff02::fb,1,107,1
fe80::4c6e:aeff:fe7a:3544,ff02::fb,1,107,1
fe80::c40a:14ff:fe3d:f7a6,ff02::fb,11000,100000,1
2001:db8::2,ff02::1:ff00:100,1,86,0
2001:db8::100,2001:db8::2,1,86,1
2001:db8::2,2001:db8::100,1000,100000,1
2001:db8::100,2001:db8::2,1,118,1
2001:db8::2,2001:db8::100,1,118,1
2001:db8::100,2001:db8::2,1,118,1
fe80::4c6e:aeff:fe7a:3544,ff02::2,1,70,0
fe80::942e:11ff:fe1d:1719,ff02::2,1,70,0
2001:db8::2,2001:db8::100,1,118,1
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,1
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,1
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,1
2001:db8::100,2001:db8::2,1,118,1
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,ff02::1:ff00:2,1,86,0
2001:db8::2,2001:db8::100,1,86,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
fe80::c40a:14ff:fe3d:f7a6,ff02::2,1,70,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
2001:db8::100,2001:db8::2,1,118,0
2001:db8::2,2001:db8::100,1,118,0
